Tabela 03 - Oferta e demanda da produção nacional a preço básico - 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
19921,Etanol e outros biocombustíveis,58770,115,109,5,5,731,0,0,45,96,71,41,0,0,0,0,11,1,0,24129,416,290,331,1544,981,0,0,0,0,47,0,3,1,14,1,0,3,0,7,4,364,517,758,0,8,61,0,11,0,1,14,8,47,0,47,90,24,39,31,70,644,117,0,29,57,0,110,0,32048,3139,0,0,27222,0,-3639,26722,58770
20911,Produtos químicos inorgânicos,31176,2581,501,33,54,1148,1,66,1,60,399,88,0,132,0,155,0,1954,8,0,9,12953,2322,809,152,377,1242,512,597,303,0,145,18,8,9,277,150,181,167,715,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,6,18,0,170,609,0,208,0,29403,1862,0,0,12,0,-101,1773,31176
20912,Adubos e fertilizantes,38303,32274,3022,238,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,1845,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37560,866,0,0,0,0,-123,743,38303
20913,Produtos químicos orgânicos,40292,0,0,0,0,810,98,43,164,0,145,10,0,432,74,269,0,644,0,0,1020,14828,7340,1477,871,1197,0,191,114,362,0,40,6,15,0,1,177,0,4,62,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,12,0,29,28,0,0,0,30509,8194,0,0,0,0,1589,9783,40292
20914,"Resinas, elastômeros e fibras artificiais e sintéticas",35185,69,5,0,0,784,0,0,1,1,5,0,14,2253,0,761,386,948,24,0,0,1127,1225,660,46,10936,1111,1,141,604,121,1984,117,44,803,222,1189,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25588,8583,0,0,0,0,1014,9597,35185
20921,Defensivos agrícolas e desinfestantes domissanitários,29877,20666,2348,69,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,3556,616,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,6,0,847,0,0,0,0,0,0,0,0,0,28185,997,0,0,182,0,513,1692,29877
20922,Produtos químicos diversos ,24973,1,20,0,1856,271,183,144,904,11,2517,120,4,133,0,99,391,478,231,313,144,601,2595,928,888,1040,428,374,38,164,2,106,171,65,13,36,327,241,17,184,437,1568,6,0,0,36,0,0,0,0,1,1,28,20,0,10,10,0,50,1,52,235,0,650,0,5,5,0,19153,5127,0,0,198,0,495,5820,24973
20923,"Tintas, vernizes, esmaltes e lacas",17492,17,35,2,0,0,0,0,2,0,33,0,0,42,36,70,214,994,645,0,0,0,136,11,1,1176,640,0,0,420,306,18,49,391,141,126,256,401,146,143,7249,930,172,0,0,0,12,0,123,139,0,0,0,1153,0,2,0,12,418,0,110,56,0,2,0,1,73,0,16903,723,0,0,254,0,-388,589,17492
20931,"Perfumaria, sabões e artigos de limpeza",37244,2,20,0,0,55,38,11,39,10,134,16,0,28,27,1,15,29,1,23,1,41,97,893,8,19,42,13,33,337,27,9,23,20,20,3,6,0,15,34,70,1622,198,8,1,82,56,44,5,32,95,4,12,0,180,70,114,68,1147,1,179,162,111,43,500,137,667,0,7698,3979,0,0,25463,0,104,29546,37244
21001,Produtos farmacêuticos,62174,377,3188,17,0,67,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,59,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35,0,0,0,232,286,110,2871,5383,3,446,0,14532,4461,4318,0,38937,0,-74,47642,62174
22001,Artigos de borracha,24424,0,0,0,11,41,268,48,0,0,1,0,0,17,0,272,0,0,0,0,0,0,2,0,1,981,45,137,12,3,0,69,649,4601,797,734,23,366,0,13,17,604,5049,0,843,0,0,0,0,0,0,0,0,0,0,3,0,262,0,0,1,3,0,6,3,0,7,0,15889,4819,0,0,3779,0,-63,8535,24424
22002,Artigos de plástico,73271,588,186,40,127,36,0,0,2809,149,7325,3304,0,66,83,279,201,671,850,96,39,1233,654,1706,466,11794,1890,200,0,673,1028,1746,896,1799,1608,233,2293,560,239,320,10955,6016,50,0,5,111,10,394,0,0,0,1,21,86,421,8,0,0,342,0,111,164,0,367,298,0,61,0,65608,3780,0,0,5482,0,-1599,7663,73271
23001,Cimento,16383,59,123,10,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6001,0,0,0,0,0,0,0,0,0,0,0,676,133,8786,0,0,0,0,0,0,0,0,0,0,0,0,705,0,0,0,0,0,0,56,18,0,3,0,0,0,0,16615,73,0,0,0,0,-305,-232,16383
23002,"Artefatos de cimento, gesso e semelhantes",24171,90,152,14,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1231,633,22265,0,0,0,0,9,0,0,0,0,0,0,0,731,0,0,0,0,0,0,40,7,0,3,0,0,158,0,25368,36,0,0,0,0,-1233,-1197,24171
23003,"Vidros, cerâmicos e outros produtos de minerais não metálicos",46560,2014,1162,35,40,14,3,9,1,73,1239,1484,0,0,0,0,0,120,0,0,0,324,132,277,45,255,2689,199,3,105,1,261,221,1553,65,157,404,169,176,67,21008,146,0,0,0,0,187,543,0,0,0,0,0,748,0,2,0,0,54,0,194,116,0,95,59,1,40,0,36490,7449,0,0,1311,0,1310,10070,46560
24911,Ferro gusa e ferroligas,11675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1344,206,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1587,9992,0,0,0,0,96,10088,11675
